"","Top","Top.Translated","Added","Added.Translated","Removed","Removed.Translated"
"1","politik (0.603)","politics","wirklich (0.636)","really","lkw (-0.238)","truck"
"2","glaube (0.571)","believe","tun (0.621)","again","bereitstellung (-0.227)","provision"
"3","einfach (0.57)","simply","ansonsten (0.601)","otherwise","befreiung (-0.208)","liberation"
"4","wichtig (0.566)","important","jedenfalls (0.593)","anyway","anrufe (-0.205)","Calls"
"5","vertrauen (0.558)","trust","möchte (0.593)","want","angestellter (-0.191)","employee"
"6","sicher (0.553)","secure","natürlich (0.593)","naturally","radar (-0.191)","radar"
"7","eben (0.551)","even","leider (0.572)","unfortunately","erhöhung (-0.179)","increase"
"8","gut (0.548)","gut","wer (0.568)","who","tor (-0.168)","tor"
"9","offensichtlich (0.539)","apparently","unsere (0.567)","our","center (-0.162)","center"
"10","schön (0.534)","nice","sagen (0.566)","say","stange (-0.159)","pole"
"11","verständnis (0.51)","understanding","wenigstens (0.556)","at least","mutmaßlich (-0.151)","presumed"
"12","handeln (0.494)","act","muß (0.554)","must","routine (-0.145)","routine"
"13","freiheit (0.492)","freedom","scheint (0.554)","appears","kassierer (-0.143)","cashier"
"14","gefühl (0.483)","feeling","verstehen (0.553)","understand","unterstützer (-0.142)","supporter"
"15","gern (0.477)","gladly","denke (0.553)","think","strauß (-0.141)","ostrich"
"16","herr (0.476)","Mr","tut (0.553)","Tut","allianz (-0.139)","allianz"
"17","froh (0.469)","glad","politiker (0.553)","Politician","wiedervereinigung (-0.136)","reunion"
"18","glauben (0.469)","believe","recht (0.551)","right","mark (-0.13)","mark"
"19","persönlich (0.466)","personal","gerne (0.547)","Gladly","regal (-0.128)","regal"
"20","endlich (0.46)","finally","ja (0.546)","and","unzuverlässig (-0.127)","unreliable"
"21","ehrlich (0.459)","ehrlich","wäre (0.545)","were","registrierung (-0.125)","Registration"
"22","genau (0.457)","Exactly","bürger (0.545)","citizens","partnerschaft (-0.124)","partnership"
"23","haltung (0.441)","attitude","eigentlich (0.544)","actually","höhepunkt (-0.123)","Climax"
"24","sicherheit (0.437)","security","meinung (0.543)","opinion","formel (-0.123)","formula"
"25","vernünftig (0.429)","reasonable","richtig (0.542)","correct","kooperieren (-0.122)","cooperate"
"26","autor (0.427)","author","nämlich (0.535)","namely","geburt (-0.121)","birth"
"27","geld (0.426)","money","not (0.534)","not","medaille (-0.121)","medal"
"28","echt (0.422)","Real","scheinbar (0.531)","seemingly","maschine (-0.12)","machine"
"29","stimmt (0.419)","true","deshalb (0.531)","for this reason","übertreffen (-0.113)","surpass"
"30","solidarität (0.417)","solidarity","insofern (0.53)","in this respect","isolierung (-0.112)","insulation"
